Names,1,2,3,4,5,6,7,8,9,10,11,12,13,14
tahfut,0,0,1,0,0,0,0,1,0,0,0,0,0,1
mishkat-al-anwar,0,0,1,0,1,0,0,1,0,0,0,0,0,0
al-iqtisad fi al-_itiqad ,0,1,0,1,1,1,1,1,0,0,1,1,1,0
Kitab Iljam Al- Awamm an Ilm Al-Kalam,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Kimiya-yi Saādat,1,1,0,1,1,1,1,0,1,0,0,1,1,0
Faysal at-Tafriqa Bayna al-Islam wa al-Zandaqa,1,1,0,1,1,1,1,0,1,0,0,1,1,0
Fada’ih al-Batiniyya ,0,1,0,1,1,1,1,0,0,0,1,1,1,0
Al-Mankhul min Taliqat al-Usul,1,1,0,1,1,1,1,0,1,0,1,1,1,0
Al Mustasfa min ilm al-Usul,0,0,1,0,0,0,0,1,0,0,0,0,0,1
Ahliyi al-Madnun bihi ala ghayri,1,1,0,1,1,1,1,0,1,0,1,1,1,0
