Names,1,2,3,4,5,6,7,8,9,10,11,12
tahfut,0.17257098000875265,0.31001551981930153,0.3128655073236419,0.2781050316543917,0.3344182636137537,0.26646945549335516,0.3164549029161011,0.3142106549923805,0.20396429070938346,nan,0.30179892136385633,0.2684290243493395
mishkat-al-anwar,0.11701785564854719,0.07388304929181604,0.0641212873991696,0.08701462841598351,0.07888059887488215,0.09211478769771522,0.08780404074396116,0.08160728714449586,0.09242290647985704,nan,0.07543169350967965,0.09357646590182502
al-iqtisad fi al-_itiqad ,0.06147682779526493,0.05333320875815248,0.051822814177631175,0.06620518247106945,0.062422217360355275,0.0699089781699989,0.0653891801632516,0.0716331536992584,0.049580097816679894,nan,0.05094787043351725,0.06524572281948449
Kitab Iljam Al- Awamm an Ilm Al-Kalam,0.11767853752577817,0.07004759311955779,0.08488026663950964,0.10145199323743277,0.10463720647798284,0.10143859645003003,0.08480286682585751,0.110881863183648,0.1005943188796613,nan,0.08923823930924994,0.1038012737145021
Kimiya-yi Saādat,0.15088796000561974,0.0924833582442261,0.09177179592731236,0.10077529954755494,0.06643860099248575,0.09319291497697224,0.07553744663723094,0.06974586103516997,0.12145411134402921,nan,0.09205228925158629,0.10414804963101251
Faysal at-Tafriqa Bayna al-Islam wa al-Zandaqa,0.07360598061666604,0.08863084391231732,0.08834124396708591,0.06521640095915891,0.06821362790995764,0.07170101676469247,0.06759122483492742,0.0690430731648068,0.13225551004542976,nan,0.09952072710947457,0.062324791437511344
Fada’ih al-Batiniyya ,0.057704043464945474,0.04880722972390717,0.04154141279423357,0.05668812558288707,0.06322824392461623,0.06353674630555435,0.0651900589723539,0.06377158892870939,0.04746463354946869,nan,0.041499819487058484,0.0572607994877446
Al-Mankhul min Taliqat al-Usul,0.07824134490426653,0.0862921975467125,0.09383107044883042,0.06464160596907144,0.06389544021891468,0.07194205449489169,0.0709139462993718,0.06886137122364241,0.09610664631611576,nan,0.07025516733875888,0.0645687347054757
Al Mustasfa min ilm al-Usul,0.09590868516209139,0.12311690336972993,0.11336599270738726,0.11155398190856544,0.0880141963710324,0.10518064753487352,0.10241488519495362,0.08485118372043214,0.09432244346427755,nan,0.11231779346323847,0.10843943060541102
Ahliyi al-Madnun bihi ala ghayri,0.07490778486806776,0.05339009621427921,0.057458608615198234,0.06834775025388469,0.0698516042560193,0.0645148021119164,0.06390144741199096,0.06539396290745664,0.06183504139509731,nan,0.06693747873358027,0.07220570734769378
